address,latitude,longitude,name
18710 S Dixie Hwy,25.594612,-80.356141,Pollo Tropical
709 N Jefferson St,38.003166,-91.61875,Burger King
9601 Jefferson Hwy,29.956277,-90.217056,McDonald's
368 S Gloster St,34.252985,-88.716015,Wendy's
840 W Main St,34.25764,-88.71664,Burger King
207 Highway 15 N,34.257816,-89.018178,Burger King
1130 Murfreesboro Rd,35.915443,-86.833983,Arby's
116 Highway 15 N,34.25054,-89.01787,Domino's Pizza
1221 S Gloster St,34.2297,-88.7196,Domino's Pizza
11292 Old 63 S,30.733883,-88.4936,Burger King
2395 Pass Rd,30.40158,-88.97576,Burger King
309 S Pearson Rd.,32.26905,-90.13568,Waffle House
4337 Robinson St,32.300625709,-90.258128236,Popeye's Chicken & Biscuits
4725 Clinton Blvd,32.328147485,-90.251587368,Popeye's Chicken & Biscuits
605 W US Highway 18,43.10586,-93.607445,Hardee's
202 11th Street Sw Plz,43.12581,-95.14723,Burger King
1705 W Burlington Ave,41.00652,-91.98436,McDonald's
3022 5th Ave S,42.50182,-94.15404,Jimmy Johns
2313 5th Ave S,42.50071,-94.16583,Wendy's
2509 5th Ave S,42.5011,-94.16261,McDonald's
1755 John F Kennedy Rd,42.502143,-90.72184,Arby's
1255 E 16th St,42.5121,-90.6552,Wendy's
6466 Poplar Ave,35.099798,-89.848067,Back Yard Burgers
2209 Circle Dr W,43.42173,-95.12424,Burger King
815 West Second Street,31.458252,-83.526697,Krystal
810 2nd St W,31.4575,-83.52582,Arby's
303 S Magnolia Street,31.451335,-83.524973,Bojangles' Famous Chicken 'n Biscuits
420 Rhomberg Ave,42.512515,-90.666233,Hardee's
620 Iowa St,42.499766,-90.665046,McDonald's
2196 University Ave,42.49936,-90.69409,Hardee's
614 S Highland St,35.11467,-89.94567,McDonald's
108 E Brazell Street,32.0872,-82.1169,McDonald's
6804 Casino Strip Resort Blvd,34.819435,-90.315636,Checkers
2515 Main St,42.51433,-92.44636,McDonald's
1203 4th Stsw,42.71363,-92.47495,McDonald's
610 W 1st St,42.537782,-92.452172,McDonald's
70 Goodman Road,34.963048,-89.991071,Krystal
1330 Poplar Ave,35.14451,-90.0163,Burger King
6428 E Shelby Dr,35.020951,-89.849198,Burger King
3675 Lamar Ave,35.06408,-89.9415,Krystal
3591 Lamar Ave,35.068122,-89.944386,Burger King
2090 Union Ave,35.13482,-89.99183,Burger King
1130 N Quincy Ave,41.017663,-92.437886,Arby's
1122 N Quincy Ave,41.016358,-92.438456,Burger King
2804 Grand Ave,45.78377,-108.58727,Domino's Pizza
904 Main St Ste 1,45.81531,-108.4716,Domino's Pizza
608 Wyoming Ave,41.051853,-94.367339,McDonald's
915 Short St,43.29087,-91.79683,McDonald's
915 Short St,43.2915,-91.7971,Integrated Therapy Specialists: Arnold D Larson
506 S Main St,32.584458,-82.321669,McDonald's
302 S Main St,32.5931,-82.3314,KFC
501 S Main St,32.58476,-82.321876,Hardee's
413 S Main St,32.58951,-82.32731,Burger King
115 S Roosevelt Ave,40.810887,-91.141513,Wendy's
405 S Roosevelt Ave,40.807291,-91.142192,Arby's
830 N 2nd St,41.85268,-90.18691,Jimmy John's
729 N 2nd St,41.85137,-90.18702,McDonald's
825 N 2nd St,41.852665,-90.186586,Wendy's
1804 Lincoln Way,41.816011,-90.229246,McDonald's
427 E 6th St,42.06454,-94.86163,Jimmy John's
912 W Highway 30 St,42.0715,-94.8767,McDonald's
1515 Plaza Drive,42.065153,-94.843281,Arby's
915 W US Highway 30,42.07128,-94.87785,Burger King
605 Flindt Dr,42.645464,-95.188684,Hardee's
613 Flindt Dr,42.6453,-95.1881,KFC
1300 Lake Ave,42.655465,-95.20075,Burger King
2401 4th St SW,43.147806,-93.236725,Arby's
